flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_delay,time_category
x36362,tuifly,active,2023-05-03t06:25:00.000,2023-05-03t06:25:00.000,2023-05-03 06:40:00,16,Shoulder hour flights
u22811,easyjet,active,2023-05-03t06:25:00.000,2023-05-03t06:25:00.000,2023-05-03 06:36:00,12,Shoulder hour flights
u22719,easyjet,active,2023-05-03t06:40:00.000,2023-05-03t06:40:00.000,2023-05-03 06:51:00,11,Shoulder hour flights
u22807,easyjet,active,2023-05-03t06:45:00.000,2023-05-03t06:45:00.000,2023-05-03 07:04:00,19,Regular departures
fr505,ryanair,active,2023-05-03t06:50:00.000,2023-05-03t06:50:00.000,2023-05-03 06:56:00,6,Shoulder hour flights
u22839,easyjet,active,2023-05-03t06:50:00.000,2023-05-03t07:01:00.000,2023-05-03 07:10:00,21,Regular departures
u2237,easyjet,active,2023-05-03t06:55:00.000,2023-05-03t06:55:00.000,2023-05-03 06:58:00,4,Shoulder hour flights
fr4757,ryanair,active,2023-05-03t07:00:00.000,2023-05-03t07:00:00.000,2023-05-03 07:30:00,31,Regular departures
ls1805,jet2,active,2023-05-03t07:00:00.000,2023-05-03t07:30:00.000,2023-05-03 07:32:00,33,Regular departures
x36314,tuifly,active,2023-05-03t07:00:00.000,2023-05-03t07:00:00.000,2023-05-03 07:38:00,39,Regular departures
