flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
FR155,RYR21CR,EI-HGE,B38M,EGGD/BRS,LEMD/MAD,2350,212,2024-11-11 16:14:57 UTC,Day flight,RYR
EI3843,EAI18K,EI-GPO,AT76,EGGD/BRS,EICK/ORK,3850,173,2024-11-11 16:15:00 UTC,Day flight,EAI
U22936,EZY75PQ,G-EZRX,A320,LKPR/PRG,EGGD/BRS,19150,358,2024-11-11 16:14:58 UTC,Day flight,EZY
U22936,EZY75PQ,G-EZRX,A320,LKPR/PRG,EGGD/BRS,500,134,2024-11-11 16:29:59 UTC,Day flight,EZY
FR4148,RYR22RR,EI-ENI,B738,LPFR/FAO,EGGD/BRS,0,0,2024-11-11 16:29:39 UTC,Day flight,RYR
,ECA2HL,D-IOHL,C25A,EGNM/LBA,EGGD/BRS,2450,192,2024-11-11 16:30:00 UTC,Day flight,ECA
EI3843,EAI18K,EI-GPO,AT76,EGGD/BRS,EICK/ORK,16025,212,2024-11-11 16:29:59 UTC,Day flight,EAI
FR1591,RYR901J,9H-QAX,B738,EGGD/BRS,EDDK/CGN,5450,260,2024-11-11 16:29:57 UTC,Day flight,MAY
LS1818,EXS1818,G-JZBN,B738,LTBS/DLM,EGGD/BRS,20175,410,2024-11-11 16:29:59 UTC,Day flight,EXS
LS1818,EXS1818,G-JZBN,B738,LTBS/DLM,EGGD/BRS,175,141,2024-11-11 16:44:58 UTC,Day flight,EXS
KL1081,KLM55E,PH-EXU,E75S,EHAM/AMS,EGGD/BRS,2350,178,2024-11-11 16:44:58 UTC,Day flight,KLC
XQ585,SXS6UL,TC-SOK,B38M,EGGD/BRS,LTAI/AYT,0,0,2024-11-11 16:44:49 UTC,Day flight,SXS
U2226,EZY74VG,G-EZWI,A320,EGAA/BFS,EGGD/BRS,14550,380,2024-11-11 16:44:57 UTC,Day flight,EZY
SI494,ICI494,G-ISLN,AT75,EGJJ/JER,EGGD/BRS,10425,242,2024-11-11 16:59:58 UTC,Day flight,BCI
