departure_date,flight_type,total_flights,avg_departure_delay
2023-11-22,Shoulder hour flights,2,5.0
2023-11-23,Night hour departures,1,11.0
2023-11-23,Regular departures,73,10.082191780821917
2023-11-23,Shoulder hour flights,11,8.545454545454545
2023-11-24,Regular departures,88,18.772727272727273
2023-11-24,Shoulder hour flights,6,5.5
2023-11-25,Regular departures,60,12.35
2023-11-25,Shoulder hour flights,15,16.6
2023-11-26,Regular departures,69,13.63768115942029
2023-11-26,Shoulder hour flights,13,9.0
2023-11-27,Regular departures,96,12.229166666666666
2023-11-27,Shoulder hour flights,13,6.230769230769231
2023-11-28,Regular departures,60,10.7
2023-11-28,Shoulder hour flights,12,11.583333333333334
2023-11-29,Night hour departures,1,6.0
2023-11-29,Regular departures,60,13.233333333333333
2023-11-29,Shoulder hour flights,11,20.818181818181817
2023-11-30,Night hour departures,1,3.0
2023-11-30,Regular departures,60,16.333333333333332
2023-11-30,Shoulder hour flights,13,9.0
2023-12-01,Regular departures,56,26.839285714285715
2023-12-01,Shoulder hour flights,13,24.53846153846154
2023-12-02,Regular departures,51,27.215686274509803
2023-12-02,Shoulder hour flights,10,30.4
2023-12-03,Night hour departures,1,5.0
2023-12-03,Regular departures,66,12.333333333333334
2023-12-03,Shoulder hour flights,4,10.0
2023-12-04,Night hour departures,1,5.0
2023-12-04,Regular departures,83,19.337349397590362
2023-12-04,Shoulder hour flights,12,4.0
2023-12-05,Regular departures,67,10.567164179104477
2023-12-05,Shoulder hour flights,12,20.916666666666668
2023-12-06,Night hour departures,1,2.0
2023-12-06,Regular departures,68,17.794117647058822
2023-12-06,Shoulder hour flights,11,1.0
2023-12-07,Regular departures,56,12.142857142857142
2023-12-07,Shoulder hour flights,3,2.0
2023-12-08,Regular departures,79,17.0
2023-12-08,Shoulder hour flights,14,8.714285714285714
2023-12-09,Regular departures,64,18.03125
2023-12-09,Shoulder hour flights,14,17.428571428571427
2023-12-10,Regular departures,70,20.585714285714285
2023-12-10,Shoulder hour flights,5,14.2
2023-12-11,Regular departures,91,11.604395604395604
2023-12-11,Shoulder hour flights,7,11.428571428571429
2023-12-12,Regular departures,71,10.746478873239436
2023-12-12,Shoulder hour flights,12,9.833333333333334
2023-12-13,Night hour departures,1,3.0
2023-12-13,Regular departures,66,13.015151515151516
2023-12-13,Shoulder hour flights,12,19.0
2023-12-14,Regular departures,82,13.670731707317072
2023-12-14,Shoulder hour flights,13,9.076923076923077
2023-12-15,Regular departures,93,17.182795698924732
2023-12-15,Shoulder hour flights,14,13.285714285714286
2023-12-16,Night hour departures,1,39.0
2023-12-16,Regular departures,76,18.105263157894736
2023-12-16,Shoulder hour flights,16,11.75
2023-12-17,Regular departures,86,14.872093023255815
2023-12-17,Shoulder hour flights,15,12.6
2023-12-18,Regular departures,92,17.98913043478261
2023-12-18,Shoulder hour flights,14,2.5
2023-12-19,Regular departures,82,17.182926829268293
2023-12-19,Shoulder hour flights,13,8.0
2023-12-20,Regular departures,87,15.586206896551724
2023-12-20,Shoulder hour flights,6,7.5
2023-12-21,Night hour departures,1,12.0
2023-12-21,Regular departures,56,19.410714285714285
2023-12-21,Shoulder hour flights,14,28.5
2023-12-22,Regular departures,66,21.96969696969697
2023-12-22,Shoulder hour flights,15,26.2
2023-12-23,Regular departures,55,21.509090909090908
2023-12-23,Shoulder hour flights,9,12.222222222222221
2023-12-24,Regular departures,58,16.551724137931036
2023-12-24,Shoulder hour flights,16,11.125
2023-12-25,Regular departures,16,11.9375
2023-12-25,Shoulder hour flights,8,0.0
2023-12-26,Regular departures,72,16.583333333333332
2023-12-26,Shoulder hour flights,13,14.461538461538462
2023-12-27,Regular departures,66,23.106060606060606
2023-12-27,Shoulder hour flights,13,4.230769230769231
2023-12-28,Regular departures,75,18.386666666666667
2023-12-28,Shoulder hour flights,15,21.466666666666665
2023-12-29,Night hour departures,1,10.0
2023-12-29,Regular departures,87,19.149425287356323
2023-12-29,Shoulder hour flights,14,11.285714285714286
