Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival,count
easyJet,Bristol,2024-04-10T15:55:00+00:00,2024-04-10T16:04:00+00:00,Schiphol,2024-04-10T18:15:00+00:00,2024-04-10T18:05:00+00:00,1
easyJet,Bristol,2024-04-10T09:15:00+00:00,2024-04-10T09:41:00+00:00,Schiphol,2024-04-10T11:35:00+00:00,2024-04-10T11:37:00+00:00,1
easyJet,Bristol,2024-04-10T14:35:00+00:00,2024-04-10T14:56:00+00:00,Schiphol,2024-04-10T16:55:00+00:00,2024-04-10T16:54:00+00:00,1
Virgin Atlantic,Bristol,2024-04-10T06:20:00+00:00,2024-04-10T06:34:00+00:00,Schiphol,2024-04-10T08:45:00+00:00,2024-04-10T08:35:00+00:00,1
Virgin Atlantic,Bristol,2024-04-10T09:20:00+00:00,2024-04-10T09:37:00+00:00,Schiphol,2024-04-10T11:35:00+00:00,2024-04-10T11:33:00+00:00,1
Virgin Atlantic,Bristol,2024-04-10T13:45:00+00:00,2024-04-10T14:07:00+00:00,Schiphol,2024-04-10T16:05:00+00:00,2024-04-10T16:02:00+00:00,1
Virgin Atlantic,Bristol,2024-04-10T17:30:00+00:00,2024-04-10T17:48:00+00:00,Schiphol,2024-04-10T19:45:00+00:00,2024-04-10T19:45:00+00:00,1
German Airways,Bristol,2024-04-10T17:30:00+00:00,2024-04-10T17:48:00+00:00,Schiphol,2024-04-10T19:45:00+00:00,2024-04-10T19:45:00+00:00,1
British Airways,Bristol,2024-04-10T16:30:00+00:00,2024-04-10T16:30:00+00:00,Cork,2024-04-10T18:00:00+00:00,2024-04-10T17:46:00+00:00,1
Aer Lingus,Bristol,2024-04-10T16:30:00+00:00,2024-04-10T16:30:00+00:00,Cork,2024-04-10T18:00:00+00:00,2024-04-10T17:46:00+00:00,1
British Airways,Bristol,2024-04-10T08:25:00+00:00,2024-04-10T08:41:00+00:00,Dublin International,2024-04-10T09:40:00+00:00,2024-04-10T09:42:00+00:00,1
British Airways,Bristol,2024-04-10T18:55:00+00:00,2024-04-10T18:57:00+00:00,Dublin International,2024-04-10T20:20:00+00:00,2024-04-10T19:55:00+00:00,1
British Airways,Bristol,2024-04-10T20:25:00+00:00,2024-04-10T20:21:00+00:00,Dublin International,2024-04-10T21:45:00+00:00,2024-04-10T21:19:00+00:00,1
Aer Lingus,Bristol,2024-04-10T08:25:00+00:00,2024-04-10T08:41:00+00:00,Dublin International,2024-04-10T09:40:00+00:00,2024-04-10T09:42:00+00:00,1
Aer Lingus,Bristol,2024-04-10T18:55:00+00:00,2024-04-10T18:57:00+00:00,Dublin International,2024-04-10T20:20:00+00:00,2024-04-10T19:55:00+00:00,1
Aer Lingus,Bristol,2024-04-10T20:25:00+00:00,2024-04-10T20:21:00+00:00,Dublin International,2024-04-10T21:45:00+00:00,2024-04-10T21:19:00+00:00,1
Ryanair,Bristol,2024-04-10T06:00:00+00:00,2024-04-10T06:03:00+00:00,Dublin International,2024-04-10T07:05:00+00:00,2024-04-10T06:50:00+00:00,1
Ryanair,Bristol,2024-04-10T13:15:00+00:00,2024-04-10T13:35:00+00:00,Dublin International,2024-04-10T14:20:00+00:00,2024-04-10T14:14:00+00:00,1
Ryanair,Bristol,2024-04-10T22:40:00+00:00,2024-04-10T23:05:00+00:00,Dublin International,2024-04-10T23:45:00+00:00,2024-04-10T23:45:00+00:00,1
Qatar Airways,Bristol,2024-04-10T08:25:00+00:00,2024-04-10T08:41:00+00:00,Dublin International,2024-04-10T09:40:00+00:00,2024-04-10T09:42:00+00:00,1
Ryanair,Bristol,2024-04-10T18:40:00+00:00,2024-04-10T18:42:00+00:00,Kastrup,2024-04-10T21:45:00+00:00,2024-04-10T21:19:00+00:00,1
easyJet,Bristol,2024-04-10T10:35:00+00:00,2024-04-10T11:03:00+00:00,Kastrup,2024-04-10T13:30:00+00:00,2024-04-10T13:44:00+00:00,1
Ryanair,Bristol,2024-04-10T08:05:00+00:00,2024-04-10T09:07:00+00:00,John Paul II Balice International,2024-04-10T11:35:00+00:00,2024-04-10T12:18:00+00:00,1
Ryanair,Bristol,2024-04-10T11:15:00+00:00,2024-04-10T11:33:00+00:00,Jasionka,2024-04-10T14:55:00+00:00,2024-04-10T14:56:00+00:00,1
Ryanair Sun,Bristol,2024-04-10T07:25:00+00:00,2024-04-10T07:40:00+00:00,Kaunas,2024-04-10T12:10:00+00:00,2024-04-10T12:05:00+00:00,1
Jet2,Bristol,2024-04-10T10:25:00+00:00,2024-04-10T10:43:00+00:00,Fuerteventura,2024-04-10T14:25:00+00:00,2024-04-10T14:02:00+00:00,1
easyJet,Bristol,2024-04-10T06:40:00+00:00,2024-04-10T06:46:00+00:00,Fuerteventura,2024-04-10T10:45:00+00:00,2024-04-10T10:05:00+00:00,1
TUIfly,Bristol,2024-04-10T10:30:00+00:00,2024-04-10T10:35:00+00:00,Fuerteventura,2024-04-10T14:35:00+00:00,2024-04-10T13:52:00+00:00,1
easyJet,Bristol,2024-04-10T16:20:00+00:00,2024-04-10T16:24:00+00:00,Gran Canaria,2024-04-10T20:40:00+00:00,2024-04-10T20:02:00+00:00,1
easyJet,Bristol,2024-04-10T14:35:00+00:00,2024-04-10T15:03:00+00:00,Lanzarote,2024-04-10T18:40:00+00:00,2024-04-10T18:33:00+00:00,1
Ryanair,Bristol,2024-04-10T10:25:00+00:00,2024-04-10T10:46:00+00:00,Sur Reina Sofia,2024-04-10T14:40:00+00:00,2024-04-10T14:19:00+00:00,1
Jet2,Bristol,2024-04-10T10:30:00+00:00,2024-04-10T10:37:00+00:00,Sur Reina Sofia,2024-04-10T14:45:00+00:00,2024-04-10T14:10:00+00:00,1
easyJet,Bristol,2024-04-10T06:05:00+00:00,2024-04-10T06:44:00+00:00,Sur Reina Sofia,2024-04-10T10:20:00+00:00,2024-04-10T10:10:00+00:00,1
TUIfly,Bristol,2024-04-10T13:45:00+00:00,2024-04-10T14:05:00+00:00,Sharm el-Sheikh International Airport,2024-04-10T20:05:00+00:00,2024-04-10T20:17:00+00:00,1
Ryanair,Bristol,2024-04-10T18:15:00+00:00,2024-04-10T18:35:00+00:00,Sofia,2024-04-10T23:25:00+00:00,2024-04-10T23:32:00+00:00,1
