type,status,departure.iataCode,departure.icaoCode,departure.actualTime,arrival.iataCode,arrival.icaoCode,arrival.actualTime
arrival,landed,ams,eham,2023-12-30t22:45:00.000,brs,eggd,2023-12-30t22:44:00.000
arrival,landed,alc,leal,2023-12-30t22:31:00.000,brs,eggd,2023-12-30t23:43:00.000
arrival,landed,bgy,lime,2023-12-30t22:43:00.000,brs,eggd,2023-12-30t23:22:00.000
arrival,landed,sof,lbsf,2023-12-30t22:32:00.000,brs,eggd,2023-12-30t23:41:00.000
arrival,landed,ssh,hesh,2023-12-30t20:25:00.000,brs,eggd,2023-12-30t23:51:00.000
arrival,landed,tfs,gcts,2023-12-30t20:13:00.000,brs,eggd,2023-12-30t23:48:00.000
arrival,landed,edi,egph,2023-12-30t11:31:00.000,brs,eggd,2023-12-30t12:34:00.000
arrival,landed,nrn,edlv,2023-12-30t16:11:00.000,brs,eggd,2023-12-30t16:21:00.000
arrival,landed,bhd,egac,2023-12-30t20:21:00.000,brs,eggd,2023-12-30t21:14:00.000
arrival,landed,bhd,egac,2023-12-31t15:44:00.000,brs,eggd,2023-12-31t16:31:00.000
arrival,landed,pfo,lcph,2023-12-30t21:28:00.000,brs,eggd,2023-12-31t00:08:00.000
arrival,landed,hrg,hegn,2023-12-30t21:18:00.000,brs,eggd,2023-12-31t00:50:00.000
arrival,landed,vce,lipz,2023-12-31t05:56:00.000,brs,eggd,2023-12-31t06:55:00.000
arrival,landed,dub,eidw,2023-12-31t06:48:00.000,brs,eggd,2023-12-31t07:30:00.000
arrival,landed,dub,eidw,2023-12-31t07:06:00.000,brs,eggd,2023-12-31t08:04:00.000
arrival,landed,ncl,egnt,2023-12-31t08:28:00.000,brs,eggd,2023-12-31t09:16:00.000
arrival,landed,edi,egph,2023-12-31t08:54:00.000,brs,eggd,2023-12-31t09:51:00.000
arrival,landed,gla,egpf,2023-12-31t09:14:00.000,brs,eggd,2023-12-31t10:10:00.000
arrival,landed,bfs,egaa,2023-12-31t09:02:00.000,brs,eggd,2023-12-31t09:55:00.000
arrival,landed,dub,eidw,2023-12-31t14:59:00.000,brs,eggd,2023-12-31t15:43:00.000
arrival,landed,gva,lsgg,2023-12-31t10:32:00.000,brs,eggd,2023-12-31t10:57:00.000
arrival,landed,ory,lfpo,2023-12-31t11:08:00.000,brs,eggd,2023-12-31t11:12:00.000
arrival,landed,tls,lfbo,2023-12-31t10:36:00.000,brs,eggd,2023-12-31t11:08:00.000
arrival,landed,cdg,lfpg,2023-12-31t11:55:00.000,brs,eggd,2023-12-31t11:53:00.000
arrival,landed,bfs,egaa,2023-12-31t10:50:00.000,brs,eggd,2023-12-31t11:40:00.000
arrival,landed,inn,lowi,2023-12-31t11:50:00.000,brs,eggd,2023-12-31t12:50:00.000
arrival,landed,bud,lhbp,2023-12-31t10:46:00.000,brs,eggd,2023-12-31t12:17:00.000
arrival,landed,gva,lsgg,2023-12-31t11:42:00.000,brs,eggd,2023-12-31t12:06:00.000
arrival,landed,bcn,lebl,2023-12-31t11:25:00.000,brs,eggd,2023-12-31t12:40:00.000
arrival,landed,edi,egph,2023-12-31t11:26:00.000,brs,eggd,2023-12-31t12:25:00.000
arrival,landed,agp,lemg,2023-12-31t11:10:00.000,brs,eggd,2023-12-31t12:55:00.000
arrival,landed,alc,leal,2023-12-31t11:01:00.000,brs,eggd,2023-12-31t12:45:00.000
arrival,landed,gva,lsgg,2023-12-31t12:40:00.000,brs,eggd,2023-12-31t13:15:00.000
arrival,landed,szg,lows,2023-12-31t11:55:00.000,brs,eggd,2023-12-31t12:59:00.000
arrival,landed,cdg,lfpg,2023-12-31t13:17:00.000,brs,eggd,2023-12-31t13:19:00.000
arrival,landed,kef,bikf,2023-12-31t10:23:00.000,brs,eggd,2023-12-31t13:03:00.000
arrival,landed,ams,eham,2023-12-31t13:10:00.000,brs,eggd,2023-12-31t13:12:00.000
arrival,landed,gib,lxgb,2023-12-31t11:35:00.000,brs,eggd,2023-12-31t13:08:00.000
arrival,landed,fao,lpfr,2023-12-31t11:11:00.000,brs,eggd,2023-12-31t13:35:00.000
arrival,landed,sof,lbsf,2023-12-31t12:35:00.000,brs,eggd,2023-12-31t13:47:00.000
arrival,landed,ams,eham,2023-12-31t13:56:00.000,brs,eggd,2023-12-31t13:54:00.000
arrival,landed,ace,gcrr,2023-12-31t10:30:00.000,brs,eggd,2023-12-31t14:00:00.000
arrival,landed,iom,egns,2023-12-31t14:11:00.000,brs,eggd,2023-12-31t14:54:00.000
arrival,landed,wro,epwr,2023-12-31t13:45:00.000,brs,eggd,2023-12-31t14:57:00.000
arrival,landed,dub,eidw,2023-12-31t14:11:00.000,brs,eggd,2023-12-31t15:04:00.000
arrival,landed,inn,lowi,2023-12-31t14:40:00.000,brs,eggd,2023-12-31t15:26:00.000
arrival,landed,edi,egph,2023-12-31t14:57:00.000,brs,eggd,2023-12-31t16:11:00.000
